G4_1a	HH_G4_1a
"The particles fill the entire balloon, not just one section of it after being blown into. Just like how particles will try to fill up as much space as possible when contained."	1
When a balloon is blown up the air expands so the air tries to expand in the box.	1
This evidence shows that when there are so many particles i n one space they start to elevate and expand through the place they have been kept in.	0
blowing the balloon spreads out the particles 	1
"Because he said gas spreads and because it expands in all directions, the gas travels in all directions"	0
"Because a balloon expands more and more as you blow in it, it could be that the gas particles spread more apart to expand the balloon."	1
"Since in a balloon for it to be able to grow it need air in side,which is particle.Meaning the balloon needs to be filled up with particles.Which mean it needs to be all over the balloon and spread apart."	1
"This evidence could be used to support Charlie's claim because his claim was that the particles will scatter in all directions, so when the teacher said that in a balloon, it gets bigger in all directions, this means that if the box was filled with air, that the particles would scatter."	1
"How this evidence could be used to support Charlie's claim is that it says when you blow air into a balloon, the balloon grows larger in all directions, just like how his gas particles also go out in all directions"	2
The evidence for this is the air must be all around the balloon not at a very top or a very end of the balloon. If the is at a very top of the balloon it will only grows bigger at the top of the balloon.	0
The air particles in a balloon bounce around and scatter in different directions.  	1
the air would expand to fill up all  the empty space in the balloon. 	1
According to Charlie gas go in all diraction and fill up empty space and in Balloon when  we blow it grow bigger as air go in all diraction 	1
Air fills in space all around so it makes sense that Charlie's thinks gas will move around after 1 minute. 	0
its saying that in the balloon the air is pushing out in all directions but there are also alot of particles in the middle area because that's how air works	1
He can also show an example by showing how when he blows up the balloon it expands all through out the balloon and not just to the top of the balloon	0
"Because Charlie claimed that the gas particles will move in all directions, and the evidence shows that gas particles move all directions in a balloon. This matches his claim and supports it as well."	2
"This evidence is an example of what Charlie said, and it is a fact"	0
This evidence can be used by giving a reference to others and help them better understand his picture claim.	0
because his gas molecules are spread all out witch explains how the balloon gets bigger in all parts 	1
This could be used as evidence as well that when you do blow air into a balloon  you could feel all the air expanding inside of the balloon.	1
"This will support Charlie's claim because if you blow air into a balloon all the air spreads to hold the balloon like that. And it shows the same in charlie's claim too , so the particles will spread more."	2
The air in the balloon was expanding.	1
"gas and liquid usually try to take the shape of whatver theyre in thus the ballon gets filled equally, and so maybe the box should too."	0
"This evidence could support Charlie's claimed as, in his drawing he had drawn his gas particle much more spread out and filling most of the box. "	0
In charlie's picture he shows that gas will go in all directions and fill the whole container. The teacher is saying that the gas blown into the balloon everywhere in order to grow bigger. Which is very similar.	2
When u blow up a balloon it slowly begins to grow in all of the directions evenly that's because the particles in the air in side the balloon are spread out like the particles in the box in the pic 	2
"He said the particles will be spread out, so now he too can use the teachers evidence to support his claim. "	0
cuz the air or gas spreads out in the balloon cuz if it dont it will just fill with one side   	1
Because Charlie's claim shows that gas particles spread out	0
a balloon does get bigger as you blow into it	0
"This evidence could be used to support Charlie's claim because it says that the balloon will grow bigger in all directions, and in Charlieå«s picture it shows gas particles going in every direction"	1
"The teacher tells Charlie, ‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û And that is what Charlie drew."	1
Charlie can say that oxygen atoms spread apart when in a open space.	0
"This evidence could be used to support Charlie's claim because he drew gas particles everywhere in the box. Knowing that by blowing air into a balloon, it grows the balloon in all directions, he can make the connection that when air is in a box, the gas particles will go in all directions. "	2
The gas that goes in the balloon is trying to show that the gas will go in different directions as do the particles.	1
" If blowing into a balloon will make it get larger in all directions, then particles must be moving in all directions too."	1
"The air particles try to fill the space in the balloon in all directions, causing it to grow bigger in all directions."	1
The gas spreads out in the balloon just like how it does in Charlies drawing.	2
"Charlie drew the particles are spread out, just like the gas particles are when filling up a balloon."	2
This evidence could be use to support Charlies claim because that it sounds like gas particle is the one taking up the space and making the balloon bigger.	1
The gas particles in the balloon fly to every empty space in the balloon 	1
This can supports Charlie's claim because it shows how gas spreads out in all directions. 	0
If it happens in a balloon why wouldnt it happen in a box?	0
Charlie's evidence is that a balloon gets bigger in all directions.  	0
The gas will spread out in all directions filling up any empty space.	0
The particles to Charlie are like a balloon. The air goes to every point in the balloon. Therefor he thinks that the particles go everywhere.	1
because the baloon grows bigger	0
Charlie says the gas spreads. This is the same case with the balloon.	2
the gas particles are going in all directions.	0
"When blowing up the balloon, gas particles spread out and cover different areas so that the balloon can be blown up. He thinks the the gas particles would also spread out and cover different spaces. "	1
"This piece of evidence could be used to support Charlie's claim because the air in a balloon makes it grow bigger in all directions, so air in a box would go in all directions too."	2
"Charlie's picture shows the gas particles spreading out.  For a balloon to inflate, the gas particles would have to spread out, as shown in Charlie's picture."	2
"This evidence could prove that particles, not specifying gas particles, move in all sorts of directions. This could possibly prove that the gas particles float around."	0
that the air is scattered all over the place to direct the air	0
Gas spreads as much as possible.	0
Cause in a balloon the particles can start anywere	0
Charlie's claim shows how the particles move in all directions.	0
When you blow air into a ballon the gas particles go everywhere but when you release the gas from the ballon it goes up and flies back down.	1
Since the air you blow in it makes it go in all directions it could be the same for those particles.	0
Charlie said that the gas particles will float around in all different directions. The teacher's statement will help him because it matches his claim.	0
It supports it because it was proved with an experiment.	0
"A balloon expands as gas expands. They do not rise nor fall, but grow in size in all directions."	1
"The particles in Charlies box expanded and used up all the space in the box.  This is what happens when you blow up a balloon, so his claim can also be true."	2
"This evidence can help support Charlie's claim because, his chart is like blowing air into a balloon, the balloon grows bigger in all directions."	1
Charlie can use this infrmation the glaim when air is added to the particles they spread out just like a ballon.	1
The teacher is telling Charlie that when u blow a balloon it expands meaning the gas particles will spread out causing the balloon to expand. In Charlies drawing he said that the particles will expand filling the box.    	1
This evidence can be used because its actually true unlike the other kid with the weird thinking the fart come out of the ears	0
all the air is spreading out and not going in one place 	0
"This evidence could be used to support Charlie's claim because he had drawn the particles rising but they are going different ways. Thus when you blow air into a balloon, the balloon grows bigger in all of the directions. Just like in Charlie's drawing the particles are going all ways and not just one. "	2
Charlie's claim is the adding the gas would make the particles would go in different places in the box.	0
that gas will expan  	0
This supports Charlie's claim because it is coming from a credible source that the gas in the balloon makes the balloon grow bigger in all directions.	1
"This can support Charlie's claim because his picture shows that gas particles spreading out more . Like the teacher said how the balloon grows bigger in all directions, Charlie's pictures shows the gas particles spreading out in all directions. helium is also a gas lighter than air."	2
the gass particals are all around spreading	0
"The teachers claim can be correct because if you blow into a balloon and the gas particles don't expand, the balloon won't expand either. I believe that gas particles move super fast and try to separate, compared to a solid where the matter is tightly packed together. "	1
This supports Charlie's claim because he said that after one minute that the gas particles will be all over the place just like when you blow a balloon that  the gas particles go  all over the place that that is why the balloon grows bigger.	2
"The fact that when you blow air into a balloon, the balloon grows bigger in all directions can be helpful when supporting Charlie's claim because Charlie claims that after one minute of being in a box, all the gas particles spread themselves out among the whole box. The same thing happens when air is being blown into a balloon; the gas particles spread themselves out among the whole balloon as it continues to grow. "	2
That when you let gas sit in a box it will scatter everywhere so it could spread	0
the balloon has particles that scatter when it blows up	1
The gas particles get more space and can move around more easily. 	0
this evidence can help charlie because he thinks that all the particles with go everywhere and as what the teacher said when you blow a balloon all that air that you blow into it goes everywhere	1
CO2 carbon dioxide that you breath out into a balloon likes to travel outwards so the more you blow the more it will expand in size.Your giving the balloon some size the more you blow in it.	0
This could support Charlie's  because it is showing that not all the gas goes in one direction it goes  in multiple.	0
This evidence can help Charlie's claim because if a balloon gets bigger in all the sides then he might be right 	0
"Charlie believes that gas particles inside a box will extend to all places inside a box after a minute. Balloons also do this when they are inflated, the gas inside of them extends outwards in order to make the balloon bigger."	2
This evidence can support Charlie's claim because when you blow into a balloon all the particles move around to make space for more.	1
because his goes in all directions	0
water isnt air 	0
"This evidence could be used to support Charlie's claim because like his diagram, which showcases the gas bubbles being all spread out in the box, the inside of the balloon would also look like that based on the teacher's statement."	2
"I think that evidence supports Charlie's claim because, in his picture all the particles are space out. And when you blow into a balloon and the air that grows inside the balloon goes different ways to fill in the space.  "	1
"The balloon gets bigger as gas is pumped in, so the gas in the container should do the same. "	0
the ballo	0
"Charlie compared his diagram of gas particles to blowing air into a balloon, and how the balloon gets bigger."	0
"The evidence could support Charlie's claim because Charlie's claim shows the gas particles all spread out in all directions, and the evidence says that a balloon gets bigger because the air is in all directions."	1
Charlie might think: The air in the box will get bigger and spread out just like they do in a balloon when you blow air into it.	2
"I think this evidence could be used because the gas particles are everywhere in the diagram in the notebook and he also said that the balloon grows bigger in all directions, so there is some relation there."	2
Balloons get bigger in all directions when inflated.	0
"Since the teacher is saying the air in a balloon inflates in all directions, it inquires that the gas is spreading out. This helps Charlie because it's seen here that the gas particles are spreading."	1
" When you blow air into a balloon, the balloon grows bigger in all directions, so should is go around in the box also. "	2
"This gives Charlie an example to refer back to, it also gives him a chance to draw a diagram, like Sam"	0
this suppports charlie's claim because the teacher says the ballon grows bigger in all directions and charlie showed the gas particles in spread out in different directions.	1
The gas goes everywhere when poped	0
The balloon grows bigger in all directions sits diverse and spread apart which is what charlie's picture shows. 	1
"Charlie's claim has the particles spreading out in all directions, and the evidence says that when gas enters a balloon it causes it to expand in all directions."	1
This can't really support charlie's claim as much but there are gas particles being blown into the balloon as well and the balloon must inflate if the particles were all scattered around taking up more space because it wouldn't really make sense if they were just at the top of the balloon because it wouldn't inflate then.	1
This could be used as yet another real world example of thing we do everyday showing that gas does not clump up and rather they float apart.	0
in the picture the gasses are scattered every where so when you blow a balloon the gasses go every where in a balloon 	1
so the gas particles in the balloon are all scattered just think charlies box.	2
this could be evidence because when you blow into a balloon air goes all around it and its bascially gas so if you were  to leave gas in a box it would float everywhere	1
The particles go everywhere and fil up the space around them.	0
"Yes, because when we blow the air to the balloon the air sperds at the every corner of the balloon"	1
this could be a supporting claim because its saying when u blow a balloon the particles in the balloon will spread out gust like his claim said it would be 	2
This evidence could be used to support Charlie because the balloon represents the gas whereas your breath represents the particles. This could provide a visual representation of how the gas particles go in all directions instead of just up. 	2
This evidence can support Sam's claim because the balloon example is showing that the air moves freely in a balloon which is what Sam said.	1
This evidence supports Charlie's claim because maybe the particles we are looking at are from a balloon.	0
because in his picture they spread out far and they looked exactly the same as charlie 	0
because the particles went in random directions just like the evidence the teacher told him	0
It used to Sam's claim because the gas go inside the balloon it go around.	1
"This evidence states that since a ballon's gas particles push it out and spread it out, then the gas partcles in the box could spread the box out."	2
I think this evidence can support charlie because he put particles scattered everywhere and the hot air ballon when it grows bigger it goes in every direction so it can help.	1
"all molecules bounce back when they hit each other, so if you let them bounce around enough, they would eventualy spread out."	0
the particles spread out to fill up the empty space	0
"The piece of evidence that Charlie got from his teacher, was also right, because the air particles expand, and try to spread out, than just being clumped up all together. (like a solid)"	0
This information could be used to help charlies claim out because it is saying that the gas particles spresd around in an open area. 	0
"The balloons are gas and they float all the way to the sky.  If kids saw the balloon flying up to the sky, they look up at the sky and knew that balloon is very high and higher in the sky and they get so good at looking at it at the top."	0
"The box might be a ""balloon"" and gas might be the ""air"""	0
As though the teacher didn't specify what type of gas she was referring too it could also mean Charlie is possibly right.	0
"The helium inside of a balloon is trying to escape the area and go flying around in all directions, also you are stuffing more and more gas particles into an enclosed space."	1
This could help support Charlie's claim because in his picture the particle are moving in all directions just like the particles in the balloon. 	2
he probably thought that the bubbles will first scatter and then go to the top   	0
"This evidence could be used to support his claim because as shown the the balloons, the gas moves in all directions and fills up the balloon, so he assumes that the gas particles should do that, disperse, since it's both gas."	2
"His teacher said when you add air to a balloon it grows in all directions, implying the air moves in all directions."	1
this will support his claim because he drew that the gas bubbles go everywhere and when the teacher say that he might think he is right 	0
because the air is far apart	0
because our breath forces the air all around the baloon	1
It supports charlie's claim by how gas particles bounce around a container in every direction and aren't forced in a certain direction.	0
"when you blow air into a balloon, the balloon grows bigger in all directions, so it may possibly do that aswell for gas particles.  "	0
The balloon grows in every direction meaning that the air in it is spreading in every direction to make it bigger which is similar to Charlie's claim saying that the gas in a box after one minute spreads apart in every direction.	2
The teacher is telling Charlie that when you blow air into a balloon that the balloon gets bigger which means gas/air bubbles are expanding the balloon creating it to be bigger and the bubbles are around inside the balloon which means charlie could also be right.	1
The gas is filling space in the balloon and the balloon is stretching and it will do this until it pops 	1
"Charlie knows that carbon dioxide, what we breathe out is a gas and it moves out in a balloon."	0
because when you blow a ballon it doesnt just turn into a freanch lookin thing it truns into a roundish ball type of thing	0
because the air speards out	0
"When the balloon doesn't have air the particles are clunch up but when you blow air the particles start moving around, and when the balloon "	1
Sam is thinking just the air is being put in there it would spread like the gas would.	0
A balloon spreads so the air spreads. This supports his claim beacuse thats what the picture is also doing.	2
This helps support Charlie's claim because the air goes everywhere inside the ballon.	1
The particles move all in different directions	0
"After a minuet gas particles will begin to rise and spread out everywhere. For example, when you blow up  a balloon the balloon starts off small but then as air is blown in it grows bigger in all directions. "	1
This will support Charlie's claim because it is true when you blow air into a balloon all the gas particles go all over the place.	1
"when you blow into a ballon, the balloon grows bigger in all directions so Charlie was also correct."	1
the air spreads out so the gas must as well	0
All of the gas particles are taking up the entire space to fill up the box. 	0
"Air is taking up all the available space in the balloon. If you used helium which is a much lighter gas, it would do the same effect."	0
"This could support Charlie's claim because in this situation, the air in the balloon could represent the gas particles because the air in the balloon spreads in all different directions just like the gas particles in Charlie's claim."	2
The paticles are growing bigger in all places like a balloon.	1
"Charlies's teacher told him, ""When you blow air into a balloon, the balloon grows bigger in all directions."" Charlie claimed that after a minute gas spreads evenly."	1
the air particles don't stay in one place so they move all around in different directions because air can't be controlled in where it would go 	0
"When you blow air into a balloon, the balloon grows bigger in all directions is evidence to Charlie's claim because his claim was the the particles would evenly disperse and the teachers balloon and air example works well with his claim of evenly filling up the space. "	2
The partcles are everywhare and not just in the bottom	0
"An air balloon could be an example of how the so called torch emits gas and fills the large air balloon.  The gas spreads throughout the balloon and soon, it is ready to be used."	1
The particles expand in the balloon making it bigger 	1
that the air ex spansso hes right.	0
because when you blow into a balloon the air you put into the balloon makes it expand and evens it out towards different areas 	1
If the balloon grows bigger in all directions then it would mean that the gas is taking up the entire balloon.	1
"Since in a balloon, the air spreads in all directions, why wouldn't it be the same in normal air."	2
charlie says the gas will go into different areas	0
This could help Charlie because it shows that the particles move away and around like in his notebook.	0
because he thinks the gas goes everywhere	0
Gas moves every where in balloons because there is nothing in its way so its always moving in other ways totry to push out/ pop.	1
"You blow air, which is also called gas, into a balloon and it causes it to expand."	0
Charlie argues that the gas is hot so they all spread out from each other.	0
The teacher says when blowing air in a balloon the balloon goes in all directions and Charlie thinks that the particles go all over the place. So Charlie's claim is that the particles go all over the place and the teachers statement help prove Charlies claim. 	1
"This proves that if there was air blowing, the particles will space out in sam's drawing."	0
"The teacher said that the gas particles will go in all direction when you blow a balloon, which supports Charlie's claim. Charlie said that the gas particles will spread out in the box, which is the same thing that the teacher said."	2
thats wrong be because there soda and the gas has to beon the top 	0
This helps support him claim since when you blow the bubble big it spreads and all the gas particles spread apart.	0
The evidence can be used to support charlie because his evidence showed that the particles spread out and the teacher explained about expanding balloons.  	1
This could help his claim because this shows his claim in a real-world problem.  	0
"When a balloon expanse the gas molecules spread out in every direction, which would explain the molecules  that her drew are spread out."	1
The teacher said that the balloon grows bigger and that is what he drew.	0
"This supports Charlie's claim because it's spreading out in 3 directions, like the balloon."	0
The evidence supports Charlie because the balloon expands when you blow it up so therefor the gas moves around.	1
"In Charlie's claim, gas particles move outward and expands in all directions. According to the teacher, "" When you blow air into a balloon, the balloon grows bigger in all directions."" This could be used to support Charlie's claim."	1
The gas particles are spread apart 	0
"This evidence is used in Charlie's claim because when air particles are left there, then they spread out."	0
Because it is true	0
"This could support Charlie's claim because when air is pumped into the balloon, the molecules start moving faster and they spread out making the balloon bigger."	1
This could be used as evidence as Charlie drew just what the teacher told him in that example: gas particles spreading out.	0
A balloon's air spreads out in all directions supporting his claim of the gas particles spreading out in all directions.	1
"In an analogy if the box is the balloon and the and the air blown in are the gas particles than, thinking analogically the the gas particles will spread in all directions.  "	2
This evidence could be used to support Charlie's claim because the drawing shows that the particles spread out in all directions the same way the balloon grew in all directions.	2
"This supports Charlie's claim because the particle in a balloon start at the bottom, and blow into the rest of the balloon, which is Charlie's claim."	0
"This could be used to support Charlie's claim, because the particles inside the balloon are gas particles, and according to the teacher, they spread in all directions. This matches with Charlie's model, as the particles are spread apart in his model as well."	2
Charlie looks like a balloon so he will get encouragement	0
"The teachers claim supports charlie's claim. Charlie stated that the gas particles would spread out in all directions freely. Therefore, when you blow into the balloon, the gas particles spread throughout the space. "	1
"This evidence could be used to support Charlies claim because if the gas particles are continually moving and hitting the sides of the balloon, then the balloon will expand, so when you put gas particles in a box, they will also keep moving."	2
This supports charlie's claim because his gas particles spread out around the space. 	0
"Since the molecules spread out when you blow up a balloon, this is similar to Charlie's picture since it also represents molecules spread out. "	2
"This supports Charlie's claim because in his claim he talked about the particles spreading out and the teacher stated that when you blow air into a balloon, the balloon grows bigger in all directions."	1
All the airs spread out making the balloon bigger. As the gas particles spread it moves around.	1
The gas particles in a balloon expands the balloon so the gas particles might spread of in the box and expand it a little. 	1
"If you imagine the box as a balloon and the particles inside as air, you can see that the air disperses inside the balloons. "	2
"If you blow into a box, the gas particles might spread."	0
"This can support Charlie's claim because the air in the balloon begins to spread, the more added in. As his teacher said, the gas spreads in each direction."	1
"Charlie claims that after a minute, all the gas particles will be spread evenly in the box. When you blow air into a balloon, it grows bigger in all directions, as a result of the air. Since the gas particles are spread in all directions in his drawing, that directly relates to the balloon."	2
The particles are spread out because when you blow a balloon the object expands and the particles have more room to spread out. 	1
"This evidence can be used for Charlie's claim by in balloons, the gas particles inside expand and the air becomes more spread out."	1
Charlie could argue that the gas particles are inside of a balloon. 	0
"Charlie's claim is supported by this because when you blow into a balloon, it grows bigger in all directions, and this may also be true for gas particles."	2
This evidence supports Charlie's claim because the gas bubbles are spreading out like the gas in the balloon.	2
Charlies' claim can be supported by this evidence because the gas must move around in order to fill up the balloon. 	1
"If gas fill the space of a balloon, then it would fill space of the container too."	2
The air expands everywhere and air is made of gas particles so gas particles will also expand.	2
This evidence supports Charlie's claim about the particles being spread out and all around the space.	0
Charlie's evidence would be that gas particles spread out when air is let into a box/balloon.	1
 the spread out more.	0
the gas particles spread out and expand the balloon.	1
When you blow in to a balloon the air will scatrer to take up space. 	1
charlies bubles have all rised a little and have gone in diffrent directions like the gas in the ballons	1
This means that the particles moved around from an outside force acting upon them. The temperature of the breath could also have effected the movement.	0
This evidence supports it because it states that the gas spreads.	0
This evidence could be used to support Charlie's claim since the evidence back ups his claim which is the gas particles go in all directions and are spread out just like the balloon.	2
Water isn't wet because it is a liquid that wets things. Once you come into contact with water you become wet. Until then water is liquid and you are dry.	0
"When you blow air into the balloon, it grows bigger because the gas expands to fill its container. Since this is what Charlie's drawing shows, he can use ti to support his claim."	2
This evidence can claim Charlie's answer as the air is covering the ballon.	0
The gas spreads to fill the balloon.	1
"When you blow air into a balloon, the air goes into all directions so the gas particles will go in all direction too."	2
That when you blow in a balloon all the gas skaters every where. 	1
"This evidence could used to support Charlies's claim, because, the teacher said that, ‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions.‰Û And Charlie drew the gas particles everywhere in the box, saying the spread out. "	2
As you blow a balloon the air going into the balloon doesn't inflate in only one direction. The gas causes the balloon to inflate in all directions. Charlie's claim proves this.	1
It shows that charlie is also correct.	0
when you blow up a balloon the gas particles expand the balloon and blow it up which could mean that gas particles in a box could do the same thing	2
Then the gas might be able to stretch out and fill the empty spaces.	0
that since they started at the bottom they then start to go everywhere	0
Charlie says that the particles float around in different directions just like the teacher said happens in a balloon.	2
i think sam is rigth	0
The evidence could be used to support Charlie's claim because in a bath tub when you blow bubbles they fly everywhere and not stick together.	0
"Charlie can use this evidence to support his claim because when you blow a balloon, you are increasing air through the whole thing."	0
"Gas particles constantly move around in the container that it is in. If the particles  were closer to each other, they would end up either being a solid or liquid. "	0
this can help charlies because he says that the gas spreads out and so does the teacher when you blow a balloon.	2
This could be used to support Charlie's claim because of the fact that the particles will move in all directions which is exactly what Charlie drew in his notebook.	2
"This could be included in Charlie's claim because when you blow air into the balloon you are filling the balloon with particles, causing them to spread out."	1
That in his drawing the particles spread out.	0
it supports charlies answer because the molecules blow up in different directions so he is saying that they molecules move freely	0
The particles going out like his teacher said what would happen with the balloon	2
The particles are going out like his teacher said with the ballon	2
"In charlies the particles are spreading out, and in the balloon the particles are also spreading out."	2
"Charlie's evidence was that the particles were spread out, and because they were spread out the balloon grew more"	1
"Charlie can use a balloon, as his teacher says when you blow a balloon, it grows bigger, to support his claim."	0
This shows that the particles spread apart.	0
"When you blow air into a balloon, there is heat going into the balloon. That's why the particles move around."	0
"If the air in balloons expands, then so will the gas particles."	2
"This evidence could be used to support Charlie's claim because in his claim he describes how the gas particles are all spread out. The evidence states that ""When you blow air into a balloon, the balloon grows bigger in all directions."" the evidence supports Charlie's claim. "	1
because the gas in a balloon go in every direction	1
"Gas particles in a balloon travel everywhere in the given space, which is what Charlie tried to explain in his notebook."	2
"This evidence, ‰ÛÏWhen you blow air into a balloon, the balloon grows bigger in all directions,‰Û can be used as proof that air molecules spread out individually."	1
then the teacher 	0
I agree with charlie  because when you blow a balloon it gets bigger and bigger as you keep blowing. causing the gas particles to go everywhere.	1
the gas particles go all around the teacher said that's what charlie drew	0
"Since Sam's diagram was spreading apart and the balloon grows bigger in all directions, he can relate to the balloon spreading to argue his argument."	0
"Charlie think that gas will float in all directions, just like when you blow into a balloon."	2
that the sugar will not go in the middle.	0
is true that a bollon do it like thisb so is ok.	0
the balloon grows bigger in all directions so it supports his claim that gas particles separate. 	2
this evidence can support Charlie's claim because . x	0
"Charlie's claim was that the gas particles are more spread apart from each other. His teacher said that ""When you blow air into a balloon, the balloon grows bigger in all directions."" This helps Charlie's claim because in his model it shows how the gas particles are spread apart in all directions."	1
"The particles are everywhere in a balloon, so same is for the box"	2
"In my observations, the particles spread out, going in many different directions."	0
"When you blow a balloon, it gets bigger. So when the gas particles spread, they also get bigger."	1
Because its true that when u blow insdie a balloon it gets bigger in all directions	0
In a  balloon the air particles go all over the place.	1
it helps becasue its telling him that the particals have spread because the ballon grew bigger.	1
"It helps her understand what she drew, which allows her to make a strong reasoning."	0
"Charlie's claim was that the bubbles will spread out after 1 minute. The teacher said, that when you blow a balloon, the air inside spreads out just like in his drawing."	2
Because this evidence could be used to show that gas spreads out into all directions.	0
I guess I'll try here too. Charlie could say that the air in the soda is all around in the liquid. I highly doubt though Charlie is correct based on what the teacher told the other guy. Sounds to me like this teacher is setting little Charlie up for failure here.	0
"This is all incorrect, at the start of the section, it started with the particles at the bottom, it was said that it was in it and what would happen to the box after."	0
when the balloon grows the particles fill up the space in the balloon.	1
the gas can cause the balloon from all sides to go each way.	1
All of the particles move all all directions.	0
Maybe Charlie is using a balloon and is trying to find out where the gas travels.	0
the balloon will get bigger when he puts air in it.	0
she can just do what she side to do	0
"This evidence could be used to support Charlieå«s claim by showing how the gas particles would go in all directions, not just the top."	0
When the gas bubbles go to the top it is like the balloon gets bigger.	0
"When you blow a balloon, it has helium to make it bigger."	0
t h a t  g l a s s  p a r t i c l e s  s p r e a d  l i k e  a i r .	0
"When blowing air into a balloon, the balloon grows bigger in all directions, supports Charlie's claim because when one minute has pasted, Charlie believes that the gas particles will distant from the box and separate from one another. When blowing air into a balloon, the balloon expands, Charlie is saying that the box may expand when the gas particles part."	2
Because the gas particles spread all around which makes the balloon grow.	1
This evidence explains Charlie's claim because the particles are moving all over in the balloon like in his picture.	2
because the gas is in all directions like a ballone 	1
        The evidence can support Charlie's claim because when you blow into a balloon there's heat which makes the particles move. It's like heat is the energy for the particles.	0
the teacher is trying to say the the particals are speading out and that is was the image shows us	0
 the bubble want every were 	0
This could help Charlie's claim because when a balloon is being filled with air it grows bigger in all directions just like the gas bubbles	0
This evidence explains that the sugar in the water is going in one direction but is also spreading.	0
hes saying that when you blow air into a balloon the air in the balloon expands making it bigger then that must be that the gas particles are doing. 	1
This evidence helps Charlie because it says what type of air it might be	0
the gas particles will expand filling all the space like balloon	1
It could be used because it went in all directions.	0
This supports his claim because he depicts the gas particles spred out and a balloon filled with gas spreds out on all sides	2
   This evidence can also support Charlies claim because it supports charlies claim of the gas particles sepreating from one another	0
"This evidence could be used to support Charlie's claim because he could relate the particles in a balloon and the particles in a container, by saying that just like the air in a balloon move farther apart, and spread out in all directions when you blow into it, particles in a container spread out in all directions as well."	2
When you blow a balloon up the particles are not in one area but every where in the balloon.	1
Charlie can use this as a supporting detail because the image above shows that the sugar pieces are still floating but are spread out away from each other.  This happens also when you blow a balloon.  They spread apart making the air expand in the balloon eventually making more space int he balloon (before it eventually pops).	2
 The air moved the sugar particles into different directions to help the sweet flavor spread.	0
because the air could go all derections or it will pop if it went one way only.	0
When you blow a balloon the gas particles will get bigger when you blow into a balloon.	1
it helps explain because its basically saying that the bubbles go all different types of ways.	0
"This can support the claim because, it mentions that the balloon grows bigger in all in directions and Charlie drew the gas particles floating around the box."	1
"This evidence could be used to support Charlie's claim because his claim is that the particles did not rise to the top but rather randomly, and the balloon grows bigger by the air going in all the directions just like Charlie's claim."	2
"This supports Charlie's claim because her gas particles are going in every direction, just like the teacher explained the balloon."	2
the teacher tells charlie that the balloon expands in all directions.	0
Charlie's illustration demonstrates the gas bubbles expanding in all directions like the balloon.	2
when you a balloon the air goes in all directions to make the balloon bigger	1
This evidence will help support charlie's claim because the particles in the balloon go all over the place to make the balloon bigger.	1
this can be used to support charlies claim because he can be correct 	0
This could help Charlie's claim because the gas particles are more spread out therefore they grow bigger of all directions	0
"It could support his claim because it would explain how when you blow a balloon the air particles spread out instead of stay in one solid spot.  Therefore,  the air particles will spread out after one minute."	1
This can help because it says how the air is going in different directions and all over the place.	0
This evidence supports charlies claim because he says that the gas spreads out and the teacher says that when you blow up a balloon the balloon grows on all sides.	1
this explains how the gas bubbles expand into the box	0
That since you blow up a ballon the gas particles move around everywhere to make the balloon bigger.	1
I think that the air is spreading out to take more room and be much bigger in mass not like soda where it wants to get out and pop and not explode where air wants to take all the air it can.	0
Because when you blow up and air balloon the air goes n all different directions trying to fill up the balloon.	1
He could explain how balloons get bigger in all directions could also happen in a box	0
in his claim it says that the particles are all over the place and that a balloon does the same	2
"When you blow air into a balloon, the balloon grows bigger in all directions and air goes every where "	1
This evidence supports Charlie's claim because he can say that the particles are moving everywhere stretching out the balloon making it bigger. This can be used but you have to put details.	1
it looks like there is a lot of particles.	0
it show that the molkls sptto dissover	0
"A blown balloon, expands and the balloon has gas particles and for the reason for the balloon expanding is that the gas particle are spreading out."	1
"This explain Charlies evidence because the teacher said that when you blow air into the balloon, the balloon grows bigger in all directions and thats what charlies said."	1
this could help him cause if in a baloon they flot all around then way wont it do the same here  	2
the gas particles had energy going everywhere.	0
This supports Charlie's claim as in the picture the gas particles are are going all over the place just like what happens when air is filled into a balloon.	2
This can prove his claim because the gas particals in his drawing could be gas particals in a balloon when it is blown.	1
hit soused poues his evidence by exspouing the bobbles 	0
This evidence can support Charlie by telling him that how you blow into a balloon can also happen with the gas particles but with gas.	0
The gas just doesn't fill up one spot it fells up all spots weather its at once or not it fells up all spots.	0
"Because air particles go ever where in a balloon ,they would do the same in a box."	2
"When you add air into a balloon, the air travels to different areas which inflates the balloon, making it expand."	1
The air he blows into the ballon mixes with all the other gas particles and mixes around	1
Because if you know that body temp of human is 88 degree celcius. and if you blow a balloon the air particle in you mouth will bounce around inside the balloon because air particle will goes crazy if it has high temp	1
"Since the balloon becomes bigger when you blow more air into it, that means the gas particles spread out more to expand the balloon, so this means Charlie is correct. "	1
the teacher is right because the picture	0
because the particles are all free in the balloon.	0
"The evidence that ""When you blow air into a balloon, the balloon grows bigger in all directions."" supports Charlie's claim because his claim was that the gas particles will spread out."	2
 This evidence could be used to support Charlie's claim because when you blow a balloon the balloon will get bigger and bigger which the balloon grows bigger in all directions and Charlie drew that the gas particles will move in all direction and it will spread out.	1
they have more mass.	0
